onset,offset,label,type,onset_sample,offset_sample,length,path,bird,fold
9059.334241,9059.342241,1,voc,271780027,271780267,240,spec2/voc/Bl122_271780027.jpg,Bl122,0
7856.137748,7856.144748,1,voc,235684132,235684342,210,spec2/voc/Bl122_235684132.jpg,Bl122,0
6014.616533,6014.622533,1,voc,180438495,180438675,180,spec2/voc/Bl122_180438495.jpg,Bl122,0
9016.090241,9016.093241,1,voc,270482707,270482797,90,spec2/voc/Bl122_270482707.jpg,Bl122,0
9017.774241,9017.868241,1,voc,270533227,270536047,2820,spec2/voc/Bl122_270533227.jpg,Bl122,0
3820.049649,3820.126649,1,voc,114601489,114603799,2310,spec2/voc/Bl122_114601489.jpg,Bl122,0
13586.510236,13586.635236,1,voc,407595307,407599057,3750,spec2/voc/Bl122_407595307.jpg,Bl122,0
14162.865897,14162.896897,1,voc,424885976,424886906,930,spec2/voc/Bl122_424885976.jpg,Bl122,0
3882.250062,3882.256062,1,voc,116467501,116467681,180,spec2/voc/Bl122_116467501.jpg,Bl122,0
6067.915705,6067.919705,1,voc,182037471,182037591,120,spec2/voc/Bl122_182037471.jpg,Bl122,0
6143.391349,6143.412349,1,voc,184301740,184302370,630,spec2/voc/Bl122_184301740.jpg,Bl122,0
6228.329295,6228.338295,1,voc,186849878,186850148,270,spec2/voc/Bl122_186849878.jpg,Bl122,0
7986.933748,7987.020748,1,voc,239608012,239610622,2610,spec2/voc/Bl122_239608012.jpg,Bl122,0
6225.697295,6225.856295,1,voc,186770918,186775688,4770,spec2/voc/Bl122_186770918.jpg,Bl122,0
13744.550896,13744.558896,1,voc,412336526,412336766,240,spec2/voc/Bl122_412336526.jpg,Bl122,0
3847.853415,3847.896415,1,voc,115435602,115436892,1290,spec2/voc/Bl122_115435602.jpg,Bl122,0
5957.637256,5957.664256,1,voc,178729117,178729927,810,spec2/voc/Bl122_178729117.jpg,Bl122,0
8948.514967,8948.545967,1,voc,268455449,268456379,930,spec2/voc/Bl122_268455449.jpg,Bl122,0
3048.911397,3048.915397,1,voc,91467341,91467461,120,spec2/voc/Bl122_91467341.jpg,Bl122,0
